CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment,CLV,Churn
12346.0,326,1,77183.6,1,1,5,115,Lost Customers,236.03547400611623,1
12347.0,2,7,4310.0,5,5,5,555,Champions,10056.666666666666,0
12348.0,75,4,1797.24,2,4,4,244,At Risk,94.59157894736842,0
12349.0,19,1,1757.55,4,1,4,414,Potential Loyalists,87.8775,0
12350.0,310,1,334.4,1,1,2,112,Lost Customers,1.07524115755627,1
12352.0,36,8,2506.04,3,5,5,355,Loyal Customers,541.8464864864865,0
12353.0,204,1,89.0,1,1,1,111,Lost Customers,0.43414634146341463,1
12354.0,232,1,1079.4,1,1,4,114,Lost Customers,4.632618025751073,1
12355.0,214,1,459.4,1,1,2,112,Lost Customers,2.1367441860465117,1
12356.0,23,3,2811.43,4,3,5,435,Loyal Customers,351.42875,0
12357.0,33,1,6207.67,4,1,5,415,Potential Loyalists,182.57852941176472,0
12358.0,2,2,1168.06,5,2,4,524,Potential Loyalists,778.7066666666666,0
12359.0,58,4,6372.58,3,4,5,345,Loyal Customers,432.0393220338983,0
12360.0,52,3,2662.06,3,3,5,335,Loyal Customers,150.68264150943398,0
12361.0,287,1,189.9,1,1,1,111,Lost Customers,0.659375,1
12362.0,3,10,5226.23,5,5,5,555,Champions,13065.574999999999,0
12363.0,110,2,552.0,2,2,3,223,Lost Customers,9.945945945945946,1
12364.0,8,4,1313.1,5,4,4,544,Champions,583.5999999999999,0
12365.0,291,2,641.38,1,2,3,123,Lost Customers,4.393013698630137,1
12367.0,4,1,168.9,5,1,1,511,Potential Loyalists,33.78,0
12370.0,51,4,3545.69,3,4,5,345,Loyal Customers,272.74538461538464,0
12371.0,45,2,1887.96,3,2,4,324,Lost Customers,82.08521739130435,0
12372.0,72,3,1298.04,3,3,4,334,Loyal Customers,53.344109589041096,0
12373.0,311,1,364.6,1,1,2,112,Lost Customers,1.1685897435897437,1
12374.0,25,1,742.9300000000001,4,1,3,413,Potential Loyalists,28.574230769230773,0
12375.0,11,2,457.5,5,2,2,522,Potential Loyalists,76.25,0
12377.0,315,2,1628.12,1,2,4,124,Lost Customers,10.304556962025316,1
12378.0,130,1,4008.62,2,1,5,215,Lost Customers,30.600152671755723,1
12379.0,82,2,852.24,2,2,3,223,Lost Customers,20.535903614457833,0
12380.0,22,4,2724.81,4,4,5,445,Champions,473.88,0
12381.0,5,5,1845.31,5,4,4,544,Champions,1537.7583333333332,0
12383.0,185,5,1850.56,1,4,4,144,At Risk,49.74623655913978,1
12384.0,29,2,585.27,4,2,3,423,Potential Loyalists,39.018,0
12386.0,338,2,401.9,1,2,2,122,Lost Customers,2.3710914454277283,1
12388.0,16,6,2780.66,4,4,5,445,Champions,981.4094117647059,0
12390.0,80,1,549.84,2,1,3,213,Lost Customers,6.7881481481481485,0
12391.0,22,1,460.89,4,1,2,412,Potential Loyalists,20.038695652173914,0
12393.0,72,4,1582.6,3,4,4,344,Loyal Customers,86.71780821917808,0
12394.0,64,2,1272.48,3,2,4,324,Lost Customers,39.15323076923077,0
12395.0,19,12,3018.63,4,5,5,455,Champions,1811.1779999999999,0
12397.0,36,2,2409.9,3,2,5,325,Lost Customers,130.26486486486488,0
12398.0,46,1,1635.66,3,1,4,314,Lost Customers,34.80127659574468,0
12399.0,119,4,1108.65,2,4,4,244,At Risk,36.955000000000005,1
12401.0,303,1,84.3,1,1,1,111,Lost Customers,0.27730263157894736,1
12402.0,323,1,225.6,1,1,1,111,Lost Customers,0.6962962962962963,1
12403.0,50,1,427.7,3,1,2,312,Lost Customers,8.386274509803922,0
12405.0,149,1,1710.39,2,1,4,214,Lost Customers,11.402600000000001,1
12406.0,22,2,3415.3,4,2,5,425,Potential Loyalists,296.9826086956522,0
12407.0,50,5,1708.12,3,4,4,344,Loyal Customers,167.4627450980392,0
12408.0,33,5,2888.55,4,4,5,445,Champions,424.7867647058824,0
12409.0,79,3,11072.67,2,3,5,235,At Risk,415.22512500000005,0
12410.0,309,2,693.3299999999999,1,2,3,123,Lost Customers,4.473096774193548,1
12412.0,75,3,1226.88,2,3,4,234,At Risk,48.42947368421053,0
12413.0,67,3,758.1,3,3,3,333,Loyal Customers,33.44558823529412,0
12414.0,217,3,562.41,1,3,3,133,At Risk,7.739587155963303,1
12415.0,24,21,124914.53,4,5,5,455,Champions,104928.2052,0
12417.0,3,9,3649.1,5,5,5,555,Champions,8210.475,0
